"Data Source","World Development Indicators",

"Last Updated Date","2018-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.09407811843763","-0.0211505922165819","-5.0080971659919","-12.782640408461","-1.12713854411271","-25.279443286065","11.0568722640362","16.0790394702773","-17.5288381838276","-8.19041880750552","12.1568361989861","4.50292748954234","12.8250637167289","9.84356335715974","0.00400191291437278","6.86997131736673","-18.6453378731727","-10.0817303223603","","","","","","",
"Afghanistan","AFG","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","-2.69339115744371","1.47183064886517","-5.91585360700476","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.60356142752296","-5.9164948955481","-9.44188985885772","-13.9709632207745","-26.5336431150474","-27.8051985642357","-19.1088724073991","-24.4035153527196","-18.7360238822199","-22.4983838658162",
"Angola","AGO","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","2.58156403269358","-4.28446388556509","5.5295284154708","-5.34823355017632","-1.2939782222291","-2.09729209554751","-5.465973","-8.84439959377916","-11.5883584424603","-7.65604828196431","-5.32696076591876","43.3986736530575","-11.5519926947846","-28.6975731367781","-27.7983328549784","8.71506365625718","-16.012978916934","-1.20100189085605","-5.07126257411558","3.46847276228459","18.1976869254341","25.5801674322763","17.5044481999989","8.54646571822466","-10.0296892892986","9.09524412937851","12.5673867019068","12.1495795165179","6.52062032633715","-2.95708340299741","-10.0104465194724","-3.22116826757754","",
"Albania","ALB","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","-1.46031493879864","-1.85205482198244","-0.147211039981535","0.241117497994204","-1.27469426152399","-1.68299342477915","-5.62897767731477","-14.7476228007978","-7.14635497170208","1.21328486226276","-7.92174425377968","-0.474324796860473","-3.23690172537022","-11.5357490327798","-2.40365810640546","-4.55083104953815","-4.30336207270805","-5.35367921333775","-9.18856309812929","-7.07879810332834","-4.89312405263831","-7.00462022714479","-7.46059087749617","-10.7542446955675","-15.6324063828392","-15.3678349986576","-11.3685151921347","-12.9259975789079","-10.2037268248733","-9.274375062286","-10.77224681738","-8.60215117094108","-7.57514917303153","-6.97371588764069",
"Andorra","AND","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","1.27224225640204","1.9830577094419","3.19543437679079","-0.740769310943109","-6.20306739733683","-5.98905581143537","-2.7909739553226","-2.3427783479647","-3.15455411036641","-1.07672004820033","-2.57719778348358","-3.81166877221693","-1.24557455367687","-1.7028351008922","3.22032099029614","-0.341028912950146","-2.42483853719518","-3.46617829462143","-4.26485898465452","-1.9834602735093","-2.4875930110115","-4.14468006629108","-4.8443160454196","-4.21229506178187","-3.15992237703676","-1.40694788500181","8.97078467784247","6.37990680177011","1.95058324319273","2.65363142179073","2.79449564264943","2.1036160391819","1.49940141614234","2.1785669619099","-0.383118699737132","-1.00727103856271","-0.39159512386959","-2.37749566620574","-1.74400211981355","-2.96292666513535","-2.64805834592845","-4.82940682858576",
"Armenia","ARM","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.63799681406174","-7.89106305915771","-15.029244664971","-20.1762883612692","-20.4782138664984","-21.9751034634072","-16.935570334672","-15.7812103252111","-10.4398165717153","-6.2201045971038","-6.18119850537565","-2.20435917633131","-2.52832391913202","-2.39537307018263","-7.3566009937396","-14.2246479360543","-16.4837122757881","-13.6219495016022","-10.4403286979452","-9.96217793401115","-7.31050825795169","-7.60485763555859","-2.58143663264799","-2.25787615951132","-3.46646808558996",
"American Samoa","ASM","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
