"Data Source","World Development Indicators",

"Last Updated Date","2018-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10895000","6154000","8031000","10739000","9735000","10328000","14772000","25131000","38241000","44622000","43670000","",
"Angola","AGO","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","265880000","325930000","388323000","245468000","154550000","259128000","467580000","996251000","1010883000","1532042000","1442656000","1720893000","2239067000","1450101000","1488623000","1885064000","2614367000","4428499000","4490110000","1631128000","3554639000","2310322000","2850885000","4224487000","4934950000","6428723000","5407507000","7582637000","",
"Albania","ALB","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3568000","2021000","8071000","18283000","10419000","21279000","24141000","21426000","25622000","30018000","39593000","60807000","57286000","76027000","104189000","180079000","174216000","202455000","243465000","379702000","479965000","540035000","552513000","695807000","914710000","553938000","",
"Andorra","AND","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","1118152000","1078309000","1140306000","1389180000","1663053000","1620897000","1637158000","1871685000","3333079000","2281728000","4260986000","5411981000","4894469000","6824719000","6303572000","6231173000","7349853000","6265279000","5055499000","4386868000","6184788000","5449275000","4914058000","5872295000","5783539000","8889252000","12963801000","16119716000","19369192000","25310658000","24849697000","18084629000","5326706000","14336213000","12902483000","10099805000","18973957000","8810729000","9593487000","14792600000","15638893000","15788457000","13286945000","15485435000","16625166000","17824758000","25675103000","",
"Armenia","ARM","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2001000","4440000","11276000","42700000","23966000","61381000","63147000","50815000","55992000","82643000","117957000","171686000","142269000","155037000","194970000","368660000","423834000","969409000","936097000","1175642000","2047124000","1435720000","1556161000","1482992000","",
"American Samoa","ASM","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
